"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"R-HSA-6805567","Keratinization","36/1022","74/7686",1.7316330001784e-13,1.17404717412095e-10,1.02075208431569e-10,"CASP14/CDSN/CSTA/DSC1/DSC2/DSC3/DSG1/DSG3/FLG/JUP/KLK14/KRT1/KRT10/KRT13/KRT19/KRT24/KRT31/KRT33A/KRT5/KRT74/KRT75/KRT77/KRT78/LCE3D/PERP/PI3/PKP2/RPTN/SPRR1A/SPRR2A/SPRR2B/SPRR2E/SPRR2F/SPRR2G/TCHH/TGM5",36
"R-HSA-6809371","Formation of the cornified envelope","36/1022","74/7686",1.7316330001784e-13,1.17404717412095e-10,1.02075208431569e-10,"CASP14/CDSN/CSTA/DSC1/DSC2/DSC3/DSG1/DSG3/FLG/JUP/KLK14/KRT1/KRT10/KRT13/KRT19/KRT24/KRT31/KRT33A/KRT5/KRT74/KRT75/KRT77/KRT78/LCE3D/PERP/PI3/PKP2/RPTN/SPRR1A/SPRR2A/SPRR2B/SPRR2E/SPRR2F/SPRR2G/TCHH/TGM5",36
"R-HSA-69278","Cell Cycle, Mitotic","95/1022","436/7686",3.36233862760874e-07,0.000151977705967915,0.000132134009225326,"AHCTF1/ANAPC7/CEP131/CCNA1/CDK2/CDK4/CDK5RAP2/CENPJ/CENPN/CENPP/CENPQ/CEP152/CEP250/CEP76/CEP78/CKAP5/CSNK2A1/DSN1/E2F6/ESCO1/FBXO5/FGFR1OP/FKBPL/GINS3/H2AFX/H2AFZ/HAUS5/HAUS6/HAUS8/HDAC1/HIST1H2BH/HSP90AB1/LIG1/LIN9/LPIN3/MASTL/MCM3/MCM5/MNAT1/NCAPD2/NCAPD3/NUP107/NUP205/NUP210/NUP35/NUP37/NUP43/NUP62/NUP85/NUP93/NUPL2/PCNA/PHF8/POLA2/POLD1/POLD2/POLE/POLE3/PPME1/PPP2R3B/PRIM1/PSMC4/PSMD11/PSMD12/PSMD14/PSMD2/PSMD3/PSMD7/PSME4/RAE1/RANGAP1/RCC2/RFC2/RFC3/RFC5/RPA1/RPA3/KMT5A/SEM1/SKP2/SMC2/SMC4/SPC24/TFDP1/TFDP2/TMPO/TUBA1C/TUBA4A/TUBB/TUBG1/TUBGCP4/VRK1/XPO1/YWHAG/ZWILCH",95
"R-HSA-174417","Telomere C-strand (Lagging Strand) Synthesis","13/1022","23/7686",1.18699987150874e-06,0.000402392956441464,0.00034985259370784,"LIG1/PCNA/POLA2/POLD1/POLD2/POLE/POLE3/PRIM1/RFC2/RFC3/RFC5/RPA1/RPA3",13
"R-HSA-177243","Interactions of Rev with host cellular proteins","16/1022","34/7686",1.78887414511661e-06,0.00041606804064483,0.000361742125075462,"KPNB1/NUP107/NUP205/NUP210/NUP35/NUP37/NUP43/NUP62/NUP85/NUP93/NUPL2/RAE1/RAN/RANBP1/RANGAP1/XPO1",16
"R-HSA-180786","Extension of Telomeres","14/1022","27/7686",1.8410090294019e-06,0.00041606804064483,0.000361742125075462,"LIG1/PCNA/POLA2/POLD1/POLD2/POLE/POLE3/PRIM1/RFC2/RFC3/RFC5/RPA1/RPA3/RUVBL1",14
"R-HSA-72306","tRNA processing","30/1022","94/7686",2.20309740903695e-06,0.000426771440950587,0.000371047984679908,"ADAT3/C2orf49/CPSF4/CTU1/GTPBP3/NSUN2/NUP107/NUP205/NUP210/NUP35/NUP37/NUP43/NUP62/NUP85/NUP93/NUPL2/POP1/POP7/RAE1/RAN/RPP25/TPRKB/TRIT1/TRMT1/TRMT6/TRMT61B/TRMU/TSEN15/TSEN54/XPOT",30
"R-HSA-165054","Rev-mediated nuclear export of HIV RNA","15/1022","32/7686",4.0206826201794e-06,0.000681505704120408,0.000592521649289596,"NUP107/NUP205/NUP210/NUP35/NUP37/NUP43/NUP62/NUP85/NUP93/NUPL2/RAE1/RAN/RANBP1/RANGAP1/XPO1",15
"R-HSA-6784531","tRNA processing in the nucleus","20/1022","52/7686",4.62174690094122e-06,0.00069634319974181,0.000605421816263645,"C2orf49/CPSF4/NUP107/NUP205/NUP210/NUP35/NUP37/NUP43/NUP62/NUP85/NUP93/NUPL2/POP1/POP7/RAE1/RAN/RPP25/TSEN15/TSEN54/XPOT",20
"R-HSA-69186","Lagging Strand Synthesis","11/1022","19/7686",5.93879283936732e-06,0.000805300309018208,0.000700152418956989,"LIG1/PCNA/POLA2/POLD1/POLD2/PRIM1/RFC2/RFC3/RFC5/RPA1/RPA3",11
