"genes"	"modules"
"SFTPB"	"M1"
"ADAM6"	"Not.Correlated"
"CD74"	"M2"
"FN1"	"M3"
"COL1A1"	"M3"
"S100A6"	"M1"
"LOC96610"	"Not.Correlated"
"SLC34A2"	"M1"
"COL3A1"	"M3"
"CEACAM6"	"M1"
"HLA-DRA"	"M2"
"COL1A2"	"M3"
"A2M"	"M1"
"MUC1"	"M1"
"KRT19"	"Not.Correlated"
"NAPSA"	"M1"
"KRT7"	"M4"
"NEAT1"	"M1"
"C3"	"M1"
"LPCAT1"	"M1"
"NPC2"	"M1"
"SERPINA1"	"M1"
"LY6E"	"M2"
"FURIN"	"M2"
"HLA-DPA1"	"M2"
"CD55"	"M1"
"AGR2"	"M1"
"TM4SF1"	"M1"
"RNASE1"	"M1"
"ASPH"	"Not.Correlated"
"LYZ"	"M2"
"SFTPA1"	"M1"
"MGST1"	"M4"
"BCAM"	"M1"
"SCNN1A"	"M1"
"MDK"	"M1"
"DSP"	"M1"
"CTSH"	"M1"
"ATP11A"	"M1"
"ERRFI1"	"Not.Correlated"
"AEBP1"	"M3"
"ICAM1"	"M1"
"HLA-DRB1"	"M2"
"AQP3"	"M1"
"IGFBP5"	"M3"
"TACSTD2"	"M1"
"TXNRD1"	"M4"
"MALL"	"M1"
"HMGB3"	"M1"
"C8orf4"	"M1"
"CCND1"	"M1"
"WSB1"	"M1"
"EPHX1"	"M1"
"CP"	"Not.Correlated"
"SPP1"	"M3"
"DCN"	"M1"
"THBS1"	"M3"
"LAMB3"	"Not.Correlated"
"NQO1"	"M4"
"C4A"	"M1"
"WFDC2"	"M1"
"GPRC5A"	"M1"
"HLA-DPB1"	"M2"
"SEPP1"	"M1"
"ANXA1"	"M2"
"IGJ"	"M1"
"CLU"	"M1"
"APOE"	"M2"
"CEACAM5"	"Not.Correlated"
"ODC1"	"M2"
"DUSP6"	"M1"
"FOS"	"M1"
"GPNMB"	"M2"
"MALAT1"	"M1"
"PIGR"	"M1"
"IGFBP3"	"M3"
"AQP1"	"M1"
"GPR116"	"M1"
"DUSP1"	"M1"
"CXCL17"	"M1"
"COL5A1"	"M3"
"ITGB4"	"M1"
"HOPX"	"M1"
"C1orf116"	"M1"
"SLPI"	"M1"
"MPZL2"	"M1"
"MET"	"M2"
"ABCC3"	"M1"
"PARM1"	"M1"
"CPM"	"M1"
"MGLL"	"M1"
"POSTN"	"M3"
"VCAN"	"M3"
"ACSL5"	"M1"
"ABCA3"	"M1"
"G6PD"	"M4"
"MLPH"	"M1"
"MGP"	"M1"
"DPYSL3"	"M3"
"LAMC2"	"M3"
"CFB"	"M2"
"UGDH"	"M4"
"TGFBI"	"M3"
"STEAP4"	"M1"
"FAT1"	"M3"
"AHCYL2"	"M1"
"IFITM1"	"M2"
"EGR1"	"M1"
"LTBP2"	"M1"
"SELENBP1"	"M1"
"HLA-DQB1"	"M2"
"GLS"	"M4"
"S100A16"	"Not.Correlated"
"EVPL"	"M1"
"CBR1"	"M4"
"MUC5B"	"M1"
"SORL1"	"M4"
"GPX3"	"M1"
"DDIT4"	"Not.Correlated"
"TMC5"	"M1"
"TNC"	"M3"
"BTG2"	"M1"
"CYR61"	"M3"
"COL5A2"	"M3"
"DRAM1"	"M1"
"MAOA"	"M1"
"ASS1"	"M1"
"IFI6"	"M2"
"TFPI"	"M1"
"ITGB6"	"M1"
"NEDD9"	"M1"
"SIK1"	"M4"
"NNMT"	"M4"
"HLA-DMA"	"M2"
"RHOBTB2"	"M1"
"S100A14"	"M1"
"IFI27"	"M2"
"PFKP"	"M1"
"IGFBP2"	"Not.Correlated"
"NKX2-1"	"M1"
"CYBRD1"	"M1"
"HLA-DQA1"	"M2"
"THBS2"	"M3"
"SLC2A1"	"M1"
"GPC4"	"M1"
"S100A4"	"M1"
"TOP2A"	"M1"
"CKB"	"M1"
"SFTA3"	"M1"
"MSLN"	"M1"
"SLC38A1"	"M1"
"PER1"	"M1"
"CLDN3"	"Not.Correlated"
"SLC44A4"	"M1"
"NR4A1"	"M1"
"SLC7A5"	"M1"
"TNFSF10"	"M2"
"C2"	"M1"
"CPE"	"M2"
"RDH10"	"M2"
"SULF1"	"M3"
"F3"	"M1"
"TACC2"	"M4"
"ATHL1"	"M1"
"EMB"	"M1"
"C4BPA"	"M1"
"CFH"	"M1"
"HLA-DRB5"	"M2"
"ALDH3B1"	"M1"
"FKBP10"	"M1"
"FBLN1"	"M1"
"DST"	"M3"
"CLIC6"	"M1"
"CIT"	"M1"
"FKBP5"	"Not.Correlated"
"TMEM176B"	"M4"
"BST2"	"M2"
"SUSD2"	"M1"
"MX1"	"M2"
"SEZ6L2"	"M2"
"SEC11C"	"Not.Correlated"
"PXDN"	"M3"
"FOXA1"	"M1"
"EFEMP1"	"M1"
"GJA1"	"M3"
"CAV1"	"M1"
"TNFAIP2"	"M2"
"OBSL1"	"M1"
"GPRC5C"	"M1"
"PLOD2"	"M1"
"PFN2"	"M1"
"FSCN1"	"M1"
"TMPRSS2"	"M1"
"C16orf89"	"M1"
"ZNF117"	"M1"
"PHLDA1"	"M3"
"ST3GAL1"	"M1"
"CADM1"	"M1"
"IER3"	"M3"
"DCBLD2"	"M3"
"SERPINF1"	"M3"
"DPP4"	"M1"
"IFT57"	"M1"
"RAP1GAP"	"M1"
"ATP2A3"	"M2"
"SRXN1"	"M4"
"EHF"	"M1"
"SFTA2"	"M1"
"ISG15"	"M2"
"AKR1C3"	"M4"
"MXRA5"	"M3"
"FADS2"	"M1"
"ST3GAL5"	"M1"
"LMO3"	"M1"
"C19orf21"	"M4"
"C1orf106"	"M1"
"PLAU"	"M3"
"SYNE1"	"M1"
"S100A9"	"Not.Correlated"
"GDF15"	"M1"
"TSPAN1"	"M1"
"PTPRU"	"M1"
"WLS"	"M2"
"LAMP3"	"M1"
"FOLR1"	"M1"
"ALDH1A1"	"M4"
"OAS1"	"M2"
"B3GNT7"	"M2"
"MUC20"	"Not.Correlated"
"GCLC"	"M4"
"MKI67"	"M1"
"HK2"	"M1"
"TMPRSS4"	"M1"
"KIAA1324"	"M1"
"CREB3L1"	"M1"
"CAV2"	"M1"
"CTSE"	"M1"
"ITGA2"	"M4"
"LCN2"	"M1"
"AKR1C1"	"M4"
"MT2A"	"M1"
"MACC1"	"M1"
"CHI3L1"	"M2"
"SNX30"	"M1"
"CFI"	"M1"
"PROM2"	"M1"
"GALNT3"	"Not.Correlated"
"DLC1"	"M1"
"FAM129A"	"M1"
"CDCP1"	"M1"
"ITGA6"	"M1"
"PVRL4"	"M1"
"TSKU"	"M4"
"SCGB3A2"	"M1"
"SERPINE1"	"M3"
"OAS2"	"M2"
"CLDN1"	"M2"
"PRODH"	"M1"
"MECOM"	"M1"
"TFCP2L1"	"M1"
"NFIX"	"M1"
"AHNAK2"	"M3"
"BACE2"	"M4"
"S100P"	"M4"
"MUC4"	"Not.Correlated"
"ELN"	"M1"
"HPN"	"M1"
"COL12A1"	"M3"
"PLXNA2"	"M1"
"KCNS3"	"M1"
"NPNT"	"M1"
"AKR1B1"	"M4"
"FXYD3"	"M1"
"SMPDL3B"	"M1"
"PLAT"	"M3"
"CYP2B7P1"	"M1"
"PRR15L"	"M1"
"TMEM45B"	"Not.Correlated"
"GPT2"	"M2"
"SLC7A2"	"M2"
"HPGD"	"M1"
"CX3CL1"	"M1"
"SFTPD"	"M1"
"EPHA2"	"M1"
"BCAT1"	"Not.Correlated"
"RGS1"	"M2"
"APOC1"	"M2"
"NEBL"	"Not.Correlated"
"MMP11"	"M3"
"KDR"	"M1"
"CRABP2"	"M3"
"RASD1"	"M1"
"EPDR1"	"M1"
"CEACAM1"	"M2"
"H19"	"M1"
"AMIGO2"	"M3"
"SFRP2"	"M3"
"LRIG3"	"M1"
"KCNK5"	"M1"
"ALPL"	"M1"
"MYH11"	"M1"
"RAB15"	"Not.Correlated"
"CCL18"	"M2"
"ATP8A1"	"M1"
"CD163"	"M2"
"C19orf33"	"M1"
"MX2"	"M2"
"PDE4D"	"M1"
"PTPN13"	"M1"
"MYC"	"M1"
"PTGS2"	"M3"
"SFTPC"	"M1"
"FCGBP"	"M1"
"OPN3"	"M4"
"CDH3"	"M4"
"BASP1"	"M2"
"EGFR"	"M4"
"LFNG"	"Not.Correlated"
"RPL9"	"Not.Correlated"
"TCEA3"	"M1"
"SYT7"	"M2"
"IRS2"	"M2"
"PRELP"	"M1"
"MMP9"	"M3"
"CMBL"	"M4"
"NCRNA00201"	"M1"
"TK1"	"M1"
"SIPA1L2"	"M3"
"DOK4"	"M1"
"CTHRC1"	"M3"
"KIT"	"M1"
"SEMA3C"	"M3"
"MEGF6"	"M1"
"VSTM2L"	"M1"
"CES1"	"M4"
"CENPF"	"M1"
"PODXL2"	"M2"
"SLC2A3"	"M1"
"TPX2"	"M1"
"ETV4"	"M1"
"PTGR1"	"M4"
"RRM2"	"M1"
"TRIM16"	"M4"
"PLEKHG2"	"M2"
"LRRK2"	"M1"
"RARRES3"	"M2"
"FSTL3"	"M3"
"FAM83A"	"M1"
"IL6ST"	"M1"
"NTN4"	"M1"
"RORC"	"M1"
"FBLN2"	"M3"
"IRX3"	"M1"
"NT5E"	"M1"
"SLCO2A1"	"M1"
"AIM1"	"M2"
"FHL2"	"M3"
"EIF4EBP1"	"M1"
"HIST1H2AC"	"Not.Correlated"
"SLC6A14"	"M1"
"SDR16C5"	"M1"
"C4orf31"	"M1"
"ACSS1"	"M1"
"KRT80"	"M1"
"PDZK1IP1"	"M1"
"CISH"	"M1"
"ST6GALNAC1"	"M1"
"MTSS1"	"M1"
"CYFIP2"	"M1"
"PEG10"	"M1"
"FNIP2"	"M1"
"MFAP4"	"M1"
"GALNT6"	"M1"
"TMEM176A"	"M4"
"FGG"	"M2"
"CAPN5"	"M4"
"AUTS2"	"M1"
"RPS27"	"Not.Correlated"
"ANXA3"	"M1"
"SPON2"	"M3"
"HTRA3"	"M3"
"BIRC3"	"M2"
"PLEKHA6"	"M4"
"ABCC4"	"M1"
"ATF3"	"M1"
"FGFR1"	"M3"
"MRC1"	"M2"
"PLA2G16"	"M2"
"ID1"	"M4"
"CEBPA"	"M1"
"RNF43"	"M2"
"LAMA3"	"M4"
"STS"	"M1"
"GEM"	"M1"
"SCNN1B"	"M1"
"DPYD"	"M2"
"CAPS"	"M1"
"CCNB1"	"M1"
"GYLTL1B"	"Not.Correlated"
"MSR1"	"M2"
"IRS1"	"M3"
"FAM20A"	"M1"
"FMO5"	"M1"
"ANK3"	"M1"
"NEURL1B"	"M3"
"KCNK1"	"M1"
"EPS8L1"	"M1"
"HLA-DOA"	"M2"
"PXMP4"	"M1"
"LASS4"	"M1"
"C8orf73"	"M1"
"TLR2"	"M2"
"SFRP4"	"M1"
"EGLN3"	"M1"
"SBK1"	"M4"
"GBP3"	"M2"
"NYNRIN"	"M4"
"PLA2G4A"	"M2"
"PTGDS"	"M1"
"SOD3"	"M1"
"SLC7A8"	"M1"
"WNT7B"	"M1"
"SORBS2"	"M1"
"MAP1B"	"M3"
"FLRT3"	"M1"
"HS6ST2"	"M1"
"AOC3"	"M1"
"ECM1"	"M2"
"FAM105A"	"M1"
"VAMP5"	"M1"
"HIST1H1C"	"Not.Correlated"
"GPR126"	"M4"
"CCNJL"	"M1"
"RHOF"	"M1"
"ANLN"	"M1"
"KCNQ1"	"M1"
"SPNS2"	"M1"
"PRKCA"	"M1"
"CXCL9"	"M1"
"TUBB2A"	"M1"
"PLBD1"	"M1"
"C7"	"M1"
"LRG1"	"M1"
