"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"R-HSA-198933","Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell","26/639","86/7686",3.00915883081689e-09,3.10244275457221e-06,2.80960408729956e-06,"B2M/C3/CD1C/CD247/CD300A/CD3E/CD3G/CD81/CD8A/CD96/FCGR2B/HLA-B/HLA-C/HLA-F/HLA-G/ICAM3/ICAM5/ITGA4/KLRB1/NPDC1/SELL/SH2D1A/SIGLEC12/SIGLEC8/SLAMF6/TREM1",26
"R-HSA-109582","Hemostasis","74/639","477/7686",6.01978527463214e-08,3.10319930907287e-05,2.81028923084143e-05,"ADRA2A/ANXA5/APLP2/ATP2A3/CABLES1/CD2/CD47/CD48/CD63/CD74/CD84/CEACAM6/CLU/DOCK10/DOCK9/F13A1/F5/FGA/FGG/FN1/FYN/GNA14/HGF/JCHAIN/INPP5D/ITGA1/ITGA10/ITGA4/ITIH4/ITPR1/ITPR2/JAK2/JMJD1C/KCNMB1/KIF12/KIF13B/KIF19/KIF9/LHFPL2/MAFK/MAPK3/MGLL/MICAL1/MRVI1/NOS3/ORM1/PDE1A/PDE3A/PDE3B/PIK3CG/PLCG2/PRKCB/PRKCD/PRKCZ/QSOX1/RAC2/RAPGEF3/RHOA/RHOB/SDC4/SELL/SERPINA1/SERPINB6/SERPIND1/SERPINF2/SPARC/TFPI/THBS1/TLN1/TNFRSF10D/TREM1/TRPC6/TUBA1A/VAV1",74
"R-HSA-6798695","Neutrophil degranulation","64/639","406/7686",2.83353980821692e-07,9.73793180757214e-05,8.81877126276634e-05,"AGPAT2/ANPEP/ARHGAP9/ASAH1/ATP11A/ATP8A1/B2M/C3/CD14/CD300A/CD47/CD55/CD59/CD63/CEACAM6/CHIT1/CLEC5A/COTL1/CR1/CRISPLD2/CST3/CTSD/CTSH/CTSZ/CYBA/ENPP4/FGL2/FUCA1/GCA/GLIPR1/ADGRG3/HLA-B/HLA-C/ARHGAP45/HP/IQGAP2/LGALS3/LPCAT1/LYZ/MVP/NPC2/ORM1/PGM1/PIGR/PRKCD/PTPRJ/PTPRN2/QSOX1/RAB27A/RAB31/RAB37/RHOA/RHOF/SDCBP/SELL/SERPINA1/SERPINB6/SLC44A2/SPTAN1/TCIRG1/TLR2/TMEM173/TNFRSF1B/VAT1",64
"R-HSA-388396","GPCR downstream signalling","63/639","404/7686",5.23478863204068e-07,0.000134926676990849,0.000122190987279476,"ABR/ADCY6/ADCY7/ADORA1/ADRA1D/ADRA2A/AKAP13/ARHGEF17/ARHGEF2/ARHGEF3/C3/C5/CCL13/CCL5/CCR2/CCR5/CCR6/CXCL5/CXCR3/CXCR4/CXCR6/CYP4V2/CYSLTR1/FFAR2/FGD4/FPR3/GNA14/GPR132/GPR183/GPR39/GPSM3/ITPR1/ITPR2/LRP2/MAPK3/MGLL/PDE1A/PDE3A/PDE3B/PDE4A/PDE4D/PDE7B/PIK3CG/PLCB2/PPP1R1B/PRKCB/PRKCD/PTGER2/PTGER3/PTGFR/RASGRF2/RGS11/RGS3/RGS9/RHOA/RHOB/RPS6KA1/RPS6KA2/S1PR2/SCTR/SDC4/TRPC6/VAV1",63
"R-HSA-8957275","Post-translational protein phosphorylation","21/639","81/7686",1.72251615427522e-06,0.00032398862446302,0.000293407432639439,"APLP2/C3/CSF1/CST3/F5/FAM20A/FBN1/FGA/FGG/FN1/IGFBP4/IGFBP7/LAMB2/MGAT4A/MSLN/MXRA8/PNPLA2/PRSS23/QSOX1/SERPINA1/SERPIND1",21
"R-HSA-372790","Signaling by GPCR","66/639","446/7686",1.88548181064803e-06,0.00032398862446302,0.000293407432639439,"ABR/ADCY6/ADCY7/ADORA1/ADRA1D/ADRA2A/AKAP13/ARHGEF17/ARHGEF2/ARHGEF3/C3/C5/CCL13/CCL5/CCR2/CCR5/CCR6/CD55/CXCL5/CXCR3/CXCR4/CXCR6/CYP4V2/CYSLTR1/FFAR2/FGD4/FPR3/FZD5/GNA14/GPR132/GPR183/GPR39/GPSM3/ITPR1/ITPR2/PLPPR4/LRP2/MAPK3/MGLL/PDE1A/PDE3A/PDE3B/PDE4A/PDE4D/PDE7B/PIK3CG/PLCB2/PPP1R1B/PRKCB/PRKCD/PTGER2/PTGER3/PTGFR/RASGRF2/RGS11/RGS3/RGS9/RHOA/RHOB/RPS6KA1/RPS6KA2/S1PR2/SCTR/SDC4/TRPC6/VAV1",66
"R-HSA-977606","Regulation of Complement cascade","11/639","28/7686",6.94882489491676e-06,0.00102346263809417,0.000926858298013709,"C3/C4BPA/C5/CD55/CD59/CD81/CFH/CFI/CLU/CR1/CR2",11
"R-HSA-166658","Complement cascade","12/639","34/7686",9.75752990785113e-06,0.0011718363913062,0.00106122709590954,"C3/C4BPA/C5/CD55/CD59/CD81/CFH/CFI/CLU/CR1/CR2/GZMM",12
"R-HSA-381426","Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)","21/639","90/7686",1.04893509618899e-05,0.0011718363913062,0.00106122709590954,"APLP2/C3/CSF1/CST3/F5/FAM20A/FBN1/FGA/FGG/FN1/IGFBP4/IGFBP7/LAMB2/MGAT4A/MSLN/MXRA8/PNPLA2/PRSS23/QSOX1/SERPINA1/SERPIND1",21
"R-HSA-76002","Platelet activation, signaling and aggregation","37/639","213/7686",1.1366017374454e-05,0.0011718363913062,0.00106122709590954,"ADRA2A/ANXA5/APLP2/CD63/CLU/F13A1/F5/FGA/FGG/FN1/FYN/GNA14/HGF/ITIH4/ITPR1/ITPR2/LHFPL2/MAPK3/MGLL/ORM1/PIK3CG/PLCG2/PRKCB/PRKCD/PRKCZ/QSOX1/RAC2/RAPGEF3/RHOA/RHOB/SERPINA1/SERPINF2/SPARC/THBS1/TLN1/TRPC6/VAV1",37
